name,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
The Number of the Beast - 2015 Remaster,290586,58,0.409,0.89,0,-6.839,1,0.0558,0.088,0.107,0.0935,0.268,100.409,4,0
I Will Be Heard,178666,58,0.585,0.907,1,-4.787,1,0.102,7.21e-05,0.0,0.0682,0.573,92.634,4,0
Halo,195653,58,0.529,0.92,3,-4.168,1,0.0649,2.87e-05,0.00202,0.0582,0.438,111.132,4,0
"Snap Your Fingers, Snap Your Neck",251533,58,0.668,0.788,5,-6.752,1,0.0424,7.48e-05,0.108,0.0792,0.692,137.38,4,0
The Motherload,299786,58,0.363,0.971,5,-2.974,0,0.0776,7.1e-06,0.00358,0.0797,0.347,146.018,4,0
Sainted by the Storm,224666,58,0.499,0.961,10,-7.15,0,0.0537,0.000231,3.71e-06,0.259,0.541,106.034,4,0
Breaking the Chains,231693,58,0.526,0.9,4,-4.76,0,0.0531,0.00914,0.0,0.277,0.458,125.349,4,0
Welcome To The Circus,256741,58,0.489,0.987,11,-4.57,0,0.0806,7.62e-05,0.0,0.788,0.297,139.982,4,0
Resentment,227266,58,0.496,0.955,9,-3.607,0,0.196,8.3e-05,9.64e-05,0.0549,0.143,122.956,4,0
Alone Again,228977,58,0.496,0.969,10,-3.085,1,0.0688,7.49e-05,5.93e-06,0.242,0.199,109.977,4,0
Keeper of the Celestial Flame of Abernethy,200458,57,0.405,0.931,10,-6.283,0,0.0538,0.000104,0.0924,0.312,0.551,200.059,4,0
Remember We Die,225263,57,0.497,0.978,11,-4.356,0,0.072,0.000367,0.0,0.389,0.69,92.022,4,0
The Dirt I'm Buried In,244597,57,0.614,0.899,11,-5.186,0,0.0384,0.000981,0.585,0.114,0.671,114.932,4,0
Arise,198226,57,0.372,0.961,9,-6.765,0,0.0931,1.52e-05,0.0548,0.0916,0.159,115.336,4,0
You Can't Bring Me Down,348093,57,0.272,0.958,0,-10.797,1,0.381,0.00195,4.63e-05,0.0915,0.0382,136.867,4,0
Green Machine,217906,57,0.497,0.947,0,-8.802,1,0.0391,8.21e-05,0.000693,0.118,0.588,90.371,4,0
Slaughterhouse (feat. Bryan Garris Of Knocked Loose),263947,57,0.304,0.987,7,-2.578,1,0.193,6.13e-05,0.000162,0.371,0.153,149.992,4,0
Replica,237360,57,0.574,0.943,11,-5.238,1,0.0769,3.69e-05,0.0317,0.366,0.72,112.009,4,0
Blacklist,376920,57,0.534,0.969,3,-3.378,1,0.0535,0.000359,0.564,0.269,0.598,75.005,4,0
The Past Is Dead,215924,57,0.44,0.95,1,-2.993,1,0.0769,0.00449,1.6e-06,0.363,0.51,144.981,4,0
Wolves Of War,238186,57,0.177,0.938,8,-6.63,1,0.0812,0.00163,0.00184,0.0719,0.182,196.042,4,0
Hunting Season,198665,57,0.434,0.824,0,-6.864,1,0.0587,0.000206,0.000321,0.337,0.287,163.989,4,0
Slave to the Grind,208666,56,0.487,0.976,7,-7.567,1,0.105,6.8e-06,0.352,0.242,0.305,133.176,4,0
Warrior,165891,56,0.528,0.908,1,-4.243,0,0.0913,0.0485,0.000581,0.239,0.296,154.958,4,0
Memento Mori,348099,56,0.317,0.985,2,-4.588,1,0.101,0.000151,0.789,0.127,0.0483,123.008,4,0
Let Me Fall Apart,207844,56,0.431,0.88,9,-5.464,1,0.0858,0.000139,0.00132,0.242,0.212,154.997,4,0
Lightning Strike,209453,56,0.521,0.915,9,-5.705,0,0.0544,1.69e-05,0.43,0.065,0.336,112.507,3,0
"Foregone, Pt. 2",270454,56,0.311,0.905,10,-4.65,0,0.0829,1.48e-05,0.000744,0.304,0.172,179.995,3,0
SLEEPS SOCIETY,199429,56,0.304,0.952,2,-4.156,1,0.188,0.000242,5e-05,0.29,0.317,84.317,4,0
Catastrophist,388035,55,0.263,0.965,10,-4.25,0,0.197,1.42e-05,3.13e-05,0.0598,0.488,157.102,4,0
Symbolic,392800,55,0.364,0.982,6,-7.034,0,0.195,6.65e-05,0.0124,0.163,0.127,113.772,4,0
