Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100,182.86,-0.005398962684736275,184.68928571428572,179.7366
2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000,184.31,0.007948600374924508,184.8192857142857,180.03719999999998
2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100,182.71,-0.008703039051497607,184.7028571428571,180.2566
2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800,181.69,-0.005578561660281256,184.51285714285714,180.49900000000002
2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200,181.65,-0.00019509404406359288,184.335,180.7252
2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000,182.32,0.003659210122341827,184.11214285714283,180.92340000000002
2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900,182.47,0.0008263925371245762,183.85857142857142,181.1326
2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200,184.74,0.012433736841968912,183.75428571428571,181.4142
2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000,183.01,-0.009354849260866271,183.59785714285712,181.581
2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300,183.06,0.0002905712021177287,183.445,181.73300000000003
2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600,181.47,-0.008714020376419218,183.20142857142855,181.8396
2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800,183.26,0.00986524347995732,183.06642857142856,181.9704
2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900,181.55,-0.009333812827318932,182.78214285714287,182.06419999999997
2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100,181.6,0.0002927435652939625,182.6214285714286,182.1976
2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500,180.97,-0.003464672839902483,182.48642857142858,182.3012
